######Solution summary######
District nodes: [111, 116, 130, 143, 227, 234, 235, 236, 237, 238, 239, 240, 325, 326, 440, 441, 443, 485, 487, 490, 491, 557, 606, 630, 631, 640, 642, 654, 723, 726, 756]
Suffix: _LB=1000000.0
Polsby-Popper score: 0.8820
Inverse Polsby-Popper score (Objective value): 1.1338
Area: 1673228.4760
Perimeter: 4882.5684
Model status: 2
######All Variables######
y[1,49]: -0.0000
y[2,1]: -0.0000
y[2,3]: -0.0000
y[2,16]: -0.0000
y[3,1]: -0.0000
y[3,2]: -0.0000
y[3,4]: -0.0000
y[3,5]: -0.0000
y[3,15]: -0.0000
y[3,16]: -0.0000
y[3,17]: -0.0000
y[3,24]: -0.0000
y[3,39]: -0.0000
y[3,42]: -0.0000
y[3,43]: -0.0000
y[3,47]: -0.0000
y[3,49]: -0.0000
y[3,239]: -0.0000
y[3,240]: -0.0000
y[3,241]: -0.0000
y[3,242]: -0.0000
y[3,484]: -0.0000
y[3,487]: -0.0000
y[3,519]: -0.0000
y[3,761]: -0.0000
y[4,3]: -0.0000
y[4,5]: -0.0000
y[4,42]: -0.0000
y[4,44]: 0.0000
y[4,46]: -0.0000
y[4,47]: -0.0000
y[4,48]: -0.0000
y[4,241]: -0.0000
y[4,242]: -0.0000
y[4,243]: -0.0000
y[4,518]: -0.0000
y[4,519]: -0.0000
y[5,3]: -0.0000
y[5,4]: -0.0000
y[10,11]: 0.0000
y[10,18]: 0.0000
y[11,10]: 0.0000
y[11,13]: 0.0000
y[11,25]: -0.0000
y[13,11]: 0.0000
y[13,15]: 0.0000
y[13,24]: 0.0000
y[15,3]: -0.0000
y[15,13]: 0.0000
y[16,0]: -0.0000
y[16,1]: -0.0000
y[16,2]: -0.0000
y[16,3]: 0.0000
y[16,17]: -0.0000
y[16,27]: -0.0000
y[16,40]: 0.0000
y[16,41]: -0.0000
y[17,3]: -0.0000
y[17,16]: -0.0000
y[18,10]: 0.0000
y[18,25]: -0.0000
y[24,3]: -0.0000
y[24,13]: 0.0000
y[24,25]: 0.0000
y[25,11]: -0.0000
y[25,18]: -0.0000
y[25,24]: -0.0000
y[26,0]: 0.0000
y[27,0]: -0.0000
y[27,16]: -0.0000
y[39,3]: -0.0000
y[39,40]: 0.0000
y[40,16]: 0.0000
y[40,39]: 0.0000
y[40,41]: 0.0000
y[40,49]: 0.0000
y[41,1]: -0.0000
y[41,16]: -0.0000
y[41,40]: 0.0000
y[42,3]: -0.0000
y[42,4]: -0.0000
y[42,44]: 0.0000
y[43,3]: -0.0000
y[43,44]: 0.0000
y[44,4]: 0.0000
y[44,42]: 0.0000
y[44,43]: 0.0000
y[46,4]: -0.0000
y[47,3]: -0.0000
y[47,4]: -0.0000
y[48,4]: -0.0000
y[49,1]: -0.0000
y[49,3]: -0.0000
y[49,40]: 0.0000
y[50,51]: -0.0000
y[50,245]: -0.0000
